Company,TypeName,Inches,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price_IDR,HDD,SSD,Flash Storage,Hybrid,Memory_2,Touchscreen,IPS,TypeResolution,x_res,y_res
4,3,17.3,106,8,128,7,5,2.8,18445000.0,1,1,0,0,1000,0,0,1,1920,1080
10,0,14.0,97,16,1000,53,5,1.42,48008000.0,0,1,0,0,0,1,0,0,2560,1440
17,3,14.0,37,4,32,43,5,1.3,4420000.0,0,0,1,0,0,0,1,1,1920,1080
18,4,13.3,74,8,256,98,4,1.3,16998300.0,0,1,0,0,0,0,1,1,1920,1080
10,3,17.3,83,8,256,98,4,2.8,11866000.0,0,1,0,0,0,0,0,0,1600,900
4,0,13.3,106,8,1000,61,5,1.62,14263000.0,1,0,0,0,0,1,1,1,1920,1080
7,3,17.3,83,8,1000,69,5,2.5,15538000.0,1,0,0,0,0,0,1,1,1920,1080
14,1,17.3,103,32,1000,82,5,3.49,103683000.0,0,1,0,0,0,1,0,3,3840,2160
7,3,13.3,83,8,512,61,5,1.49,16303000.0,0,1,0,0,0,0,0,1,1920,1080
7,1,17.3,102,16,256,75,5,3.35,23443000.0,1,1,0,0,1000,0,1,1,1920,1080
7,3,17.3,106,8,256,70,5,2.5,17765000.0,0,1,0,0,0,0,0,1,1920,1080
4,1,15.6,102,16,512,79,5,2.65,31365000.0,1,1,0,0,1000,0,1,3,3840,2160
10,3,15.6,68,4,128,47,5,2.1,8381000.0,0,1,0,0,0,0,0,0,1366,768
0,3,15.6,97,8,1000,72,5,2.23,12614000.0,1,0,0,0,0,0,0,1,1920,1080
10,1,15.6,102,16,512,79,5,3.2,29733000.0,1,1,0,0,1000,0,1,1,1920,1080
4,5,15.6,114,16,256,101,5,2.8,51935000.0,1,1,0,0,1000,0,0,3,3840,2160
10,1,15.6,102,16,512,79,4,2.4,23766000.0,0,1,0,0,0,0,0,1,1920,1080
4,3,15.6,59,6,1000,53,5,2.3,7463000.0,1,0,0,0,0,1,0,0,1366,768
4,4,13.3,106,8,256,61,5,1.21,33133000.0,0,1,0,0,0,1,1,3,3840,2160
4,4,13.3,106,8,256,61,5,1.2,24633000.0,0,1,0,0,0,0,0,1,1920,1080
10,3,15.6,74,8,256,53,5,2.2,10149000.0,0,1,0,0,0,0,0,0,1366,768
0,3,15.6,102,8,1000,75,2,2.4,13243000.0,1,0,0,0,0,0,0,1,1920,1080
2,1,17.3,102,16,256,75,5,2.9,23919000.0,1,1,0,0,1000,0,0,1,1920,1080
7,3,15.6,56,4,500,47,4,2.1,5933000.0,1,0,0,0,0,0,0,1,1920,1080
10,3,15.6,74,8,256,53,4,2.2,9333000.0,0,1,0,0,0,0,0,1,1920,1080
8,4,13.0,97,8,512,53,5,1.05,25483000.0,0,1,0,0,0,0,1,1,2160,1440
4,4,13.3,106,8,256,7,5,1.4,15841960.0,0,1,0,0,0,0,1,1,1920,1080
10,3,17.3,74,8,1000,85,4,2.8,10013000.0,1,0,0,0,0,0,0,0,1600,900
7,3,14.0,106,8,256,69,5,1.63,17527000.0,0,1,0,0,0,0,0,1,1920,1080
4,4,14.0,83,8,256,61,5,1.6,19533000.0,0,1,0,0,0,0,0,1,1920,1080
